# refreshed_at	sub	tier	weekly_stacked	days_in_window	avg_daily_stacked
2026-07-26T04:04:13.627Z	bitcoin	1	612260	7	87466
2026-07-26T04:04:13.627Z	bitcoin_beginners	1	44865	7	6409
2026-07-26T04:04:13.627Z	bitcoin_Mining	1	20151	7	2879
2026-07-26T04:04:13.627Z	bitcoinplusplus	1	859	7	123
2026-07-26T04:04:13.627Z	bitdevs	1	21127	7	3018
2026-07-26T04:04:13.627Z	lightning	1	31555	7	4508
2026-07-26T04:04:13.627Z	mempool	1	95	7	14
2026-07-26T04:04:13.627Z	nostr	1	9129	7	1304
2026-07-26T04:04:13.627Z	security	1	4623	7	660
2026-07-26T04:04:13.627Z	privacy	1	50147	7	7164
2026-07-26T04:04:13.627Z	devs	1	5959	7	851
2026-07-26T04:04:13.627Z	tech	1	12321	7	1760
2026-07-26T04:04:13.627Z	AI	1	21061	7	3009
2026-07-26T04:04:13.627Z	openagents	1	515	7	74
2026-07-26T04:04:13.627Z	meta	1	29237	7	4177
2026-07-26T04:04:13.627Z	math	2	1881	7	269
2026-07-26T04:04:13.627Z	science	2	10167	7	1452
2026-07-26T04:04:13.627Z	econ	2	61992	7	8856
2026-07-26T04:04:13.627Z	Construction_and_Engineering	2	7683	7	1098
2026-07-26T04:04:13.627Z	Education	2	4261	7	609
2026-07-26T04:04:13.627Z	Stacker_Stocks	2	40925	7	5846
2026-07-26T04:04:13.627Z	charts_and_maps	2	12624	7	1803
2026-07-26T04:04:13.627Z	AMA	2	28749	7	4107
2026-07-26T04:04:13.627Z	AskSN	2	43909	7	6273
2026-07-26T04:04:13.627Z	jobs	2	0	7	0
2026-07-26T04:04:13.627Z	ideasfromtheedge	2	2148	7	307
2026-07-26T04:04:13.627Z	dotnet	2	0	7	0
2026-07-26T04:04:13.627Z	Design	2	8991	7	1284
2026-07-26T04:04:13.627Z	tutorials	2	22585	7	3226
2026-07-26T04:04:13.627Z	mostly_harmless	2	641	7	92
2026-07-26T04:04:13.627Z	news	2	19055	7	2722
2026-07-26T04:04:13.627Z	history	2	12432	7	1776
2026-07-26T04:04:13.627Z	BooksAndArticles	2	10921	7	1560
2026-07-26T04:04:13.627Z	podcasts	2	4684	7	669
2026-07-26T04:04:13.627Z	lol	2	8630	7	1233
2026-07-26T04:04:13.627Z	Memes	2	753	7	108
