# refreshed_at	name	nitems	stacked	spent	streak
2026-07-27T09:36:31.584Z	Scoresby	154	274245	141768	420
2026-07-27T09:36:31.584Z	k00b	32	265527	151366	1156
2026-07-27T09:36:31.584Z	BlokchainB	312	79808	81567	1014
2026-07-27T09:36:31.584Z	Undisciplined	210	79777	30773	1035
2026-07-27T09:36:31.584Z	0xbitcoiner	85	62056	7949	1
2026-07-27T09:36:31.584Z	guerratotal	117	54210	14576	18
2026-07-27T09:36:31.584Z	grayruby	162	41258	35134	978
2026-07-27T09:36:31.584Z	davidw	0	38060	0	0
2026-07-27T09:36:31.584Z	SimpleStacker	98	36319	6713	19
2026-07-27T09:36:31.584Z	robin_linus	1	31691	30	0
2026-07-27T09:36:31.584Z	login	0	28294	0	0
2026-07-27T09:36:31.584Z	wackster	13	27477	13324	0
2026-07-27T09:36:31.584Z	schmidty	14	25109	830	0
2026-07-27T09:36:31.584Z	Aardvark	0	24123	0	0
2026-07-27T09:36:31.584Z	billytheked	41	23978	9698	15
2026-07-27T09:36:31.584Z	nout	3	22506	8374	7
2026-07-27T09:36:31.584Z	Coinsreporter	11	21690	9149	4
2026-07-27T09:36:31.584Z	Bell_curve	106	19727	4631	4
2026-07-27T09:36:31.584Z	lontivero	7	19710	10042	0
2026-07-27T09:36:31.584Z	AG	48	19171	667	0
2026-07-27T09:36:31.584Z	moptosh	4	14700	18	0
2026-07-27T09:36:31.584Z	justin_shocknet	69	14519	4129	1
2026-07-27T09:36:31.584Z	OT	24	14353	3386	184
2026-07-27T09:36:31.584Z	Kayzone	29	13255	4439	6
2026-07-27T09:36:31.584Z	Yermin	56	12895	1341	3
2026-07-27T09:36:31.584Z	Car	40	12777	2073	1
2026-07-27T09:36:31.584Z	daily_btc_lore	8	12711	264	0
2026-07-27T09:36:31.584Z	niftynei	0	12266	0	0
2026-07-27T09:36:31.584Z	coffeebadger	25	11953	1326	3
2026-07-27T09:36:31.584Z	Wumbo	11	11309	1453	25
2026-07-27T09:36:31.584Z	StillStackinAfterAllTheseYears	7	11106	1023	4
2026-07-27T09:36:31.584Z	TNStacker	2	10452	2838	8
2026-07-27T09:36:31.584Z	OneOneSeven	11	10375	3334	12
2026-07-27T09:36:31.584Z	Schnitzel	24	9077	771	0
2026-07-27T09:36:31.584Z	realBitcoinDog	11	8737	684	1
2026-07-27T09:36:31.584Z	notifications	0	8552	0	0
