# refreshed_at	name	stacked	active_subs
2026-08-10T07:16:33.077Z	k00b	445322	bitcoin,tech,meta,nostr,jobs
2026-08-10T07:16:33.077Z	Scoresby	152723	AMA
2026-08-10T07:16:33.077Z	BlokchainB	58038	Stacker_Stocks,history,Construction_and_Engineering
2026-08-10T07:16:33.077Z	Undisciplined	42603	econ
2026-08-10T07:16:33.077Z	SimpleStacker	39377	math
2026-08-10T07:16:33.077Z	0xbitcoiner	34687	
2026-08-10T07:16:33.077Z	guerratotal	32258	AskSN
2026-08-10T07:16:33.077Z	grayruby	30882	Stacker_Sports
2026-08-10T07:16:33.077Z	brave	24908	
2026-08-10T07:16:33.077Z	petertodd	20280	
2026-08-10T07:16:33.077Z	m0wer	19684	
2026-08-10T07:16:33.077Z	justin_shocknet	15964	
2026-08-10T07:16:33.077Z	fiksn	13984	
2026-08-10T07:16:33.077Z	satonymous	13520	
2026-08-10T07:16:33.077Z	wackster	12153	
2026-08-10T07:16:33.077Z	login	11064	
2026-08-10T07:16:33.077Z	oshigood	10510	
2026-08-10T07:16:33.077Z	Bell_curve	9855	bitcoin_Mining
2026-08-10T07:16:33.077Z	tylerkstevens	9648	
2026-08-10T07:16:33.077Z	realBitcoinDog	9264	HealthAndFitness
