# topic	sources	score	seen_in_sn	rising_flag
# generated 2026-08-06T06:30:04.291Z; n=40
boltz	sn:bitcoin_beginners,sn:lightning,sn:bitcoin	13.07	yes	
book	sn:art,sn:BooksAndArticles	7.05	no	RISING
spend	sn:lightning	6.39	no	RISING
what	sn:Construction_and_Engineering,sn:lightning	6.13	yes	
the nordic node	sn:bitcoin	4.04	yes	
the day	sn:bitcoin	4.04	yes	
token wars came	sn:bitcoin	4.04	yes	
is bitcoin	sn:bitcoin	3.79	yes	
node runners	sn:bitcoin	3.79	yes	
coldcard	sn:bitcoin	3.78	yes	
stack exchange	sn:bitcoin	3.78	yes	
bitcoin optech newsletter	sn:bitcoin	3.78	yes	
recap podcast	sn:bitcoin	3.78	yes	
joinmarket-clientserver	sn:bitcoin	3.72	yes	
covenant enabled vaults could have protected cold card victims	sn:bitcoin	3.71	yes	
printed	sn:art	3.58	no	RISING
there	sn:bitcoin	3.56	yes	
zeus	sn:lightning	3.55	yes	
books	sn:BooksAndArticles	3.47	no	RISING
skin	sn:BooksAndArticles	3.47	no	RISING
game	sn:BooksAndArticles	3.47	no	RISING
nassim taleb	sn:BooksAndArticles	3.47	no	RISING
electrum	sn:lightning	3.35	no	RISING
built-in	sn:lightning	3.35	no	RISING
node	sn:lightning	3.35	no	RISING
stacker sports summer league	sn:Stacker_Sports	3.34	no	RISING
week	sn:Stacker_Sports	3.34	no	RISING
pick	sn:Stacker_Sports	3.34	no	RISING
latest strikes	sn:bitcoin	3.31	yes	
july	sn:bitcoin	3.31	yes	
august	sn:bitcoin	3.31	yes	
will luke dashjr	sn:AskSN	3.25	no	RISING
bitcoin	sn:AskSN	3.25	yes	
bitcoin toxic maximalism has failed	sn:bitcoin	3.18	yes	
turn	sn:bitcoin	3.17	yes	
coldcards	sn:bitcoin	3.17	yes	
having	sn:news	3.11	yes	
fucking	sn:news	3.11	yes	
leaving	sn:news	3.11	yes	
lightning	sn:lightning	3.11	yes	
